open_time,open,high,low,close,volume
2026-06-05 00:40:00,63862.71,63864.0,63688.0,63697.94,49.22248
2026-06-05 00:45:00,63697.94,63797.71,63660.0,63748.0,66.39026
2026-06-05 00:50:00,63748.01,63748.01,63510.0,63524.01,80.14716
2026-06-05 00:55:00,63524.0,63524.0,63396.57,63426.72,51.68274
2026-06-05 01:00:00,63426.73,63426.73,63052.0,63070.85,155.63307
2026-06-05 01:05:00,63070.85,63288.0,63070.85,63212.64,100.58874
2026-06-05 01:10:00,63212.65,63361.92,63140.0,63361.92,66.43704
2026-06-05 01:15:00,63361.91,63424.62,63243.63,63356.0,73.26777
2026-06-05 01:20:00,63356.0,63356.0,63144.58,63313.99,60.50218
2026-06-05 01:25:00,63313.99,63350.0,63264.0,63343.99,79.14651
2026-06-05 01:30:00,63344.0,63566.0,63344.0,63408.0,60.35841
2026-06-05 01:35:00,63408.0,63512.0,63270.0,63307.92,50.42296
2026-06-05 01:40:00,63307.92,63440.0,63286.0,63440.0,53.74677
2026-06-05 01:45:00,63440.0,63442.0,63306.0,63326.05,104.6557
2026-06-05 01:50:00,63326.04,63346.0,63244.0,63338.23,41.72745
2026-06-05 01:55:00,63338.23,63446.0,63284.0,63374.67,127.62225
2026-06-05 02:00:00,63374.67,63436.0,63240.0,63329.6,55.06729
2026-06-05 02:05:00,63329.6,63337.61,63193.33,63226.52,45.89634
2026-06-05 02:10:00,63226.53,63276.0,63180.0,63180.0,43.89591
2026-06-05 02:15:00,63180.0,63270.0,63003.0,63019.54,170.29529
2026-06-05 02:20:00,63019.53,63059.65,62766.53,62920.0,247.02335
2026-06-05 02:25:00,62920.0,62924.0,62700.0,62705.48,106.22031
2026-06-05 02:30:00,62705.49,62856.86,62620.0,62822.75,101.7796
2026-06-05 02:35:00,62822.74,62954.0,62808.0,62899.23,66.05537
2026-06-05 02:40:00,62899.23,62942.0,62588.77,62742.01,110.98414
2026-06-05 02:45:00,62742.0,62861.95,62692.01,62743.44,76.37948
2026-06-05 02:50:00,62743.45,62806.88,62623.38,62636.85,82.85249
2026-06-05 02:55:00,62636.84,62714.0,62600.0,62617.72,61.25175
2026-06-05 03:00:00,62617.72,62656.79,62472.16,62594.0,245.45434
2026-06-05 03:05:00,62593.99,62593.99,62366.37,62400.24,227.80659
