model,accuracy,precision,recall
Logistic Regression,0.5028598665395615,0.4527363184079602,0.2768762677484787
Neural Network,0.5176358436606292,0.44881889763779526,0.11561866125760649
Decision Tree,0.49332697807435655,0.46706586826347307,0.5537525354969574
Random Forest,0.5042897998093422,0.47660311958405543,0.5578093306288032
