open_time,open,high,low,close,volume,return_1,return_3,rolling_vol,volume_change,future_close,label
2026-06-05 01:10:00,63212.65,63361.92,63140.0,63361.92,66.43704,0.0023615530058545,-0.0010216514427988654,0.0032498744337187166,-0.3395181210143402,63343.99,0
2026-06-05 01:15:00,63361.91,63424.62,63243.63,63356.0,73.26777,-9.343151217633405e-05,0.004521106026000865,0.0031789549781998184,0.1028150862831938,63408.0,1
2026-06-05 01:20:00,63356.0,63356.0,63144.58,63313.99,60.50218,-0.0006630784771766152,0.0016033185767909686,0.0029360570220883586,-0.1742319985991111,63307.92,0
2026-06-05 01:25:00,63313.99,63350.0,63264.0,63343.99,79.14651,0.00047382892785630126,-0.0002829775360342346,0.0029157990346736795,0.30815963986752215,63440.0,1
2026-06-05 01:30:00,63344.0,63566.0,63344.0,63408.0,60.35841,0.0010105141782195126,0.0008207588862934045,0.0012310023000803943,-0.23738380883755972,63326.05,0
2026-06-05 01:35:00,63408.0,63512.0,63270.0,63307.92,50.42296,-0.0015783497350492226,-9.587138640287929e-05,0.0013697910251667263,-0.16460755013261608,63338.23,1
2026-06-05 01:40:00,63307.92,63440.0,63286.0,63440.0,53.74677,0.002086310843888217,0.0015156923332426686,0.0012871211960872506,0.06591858153507846,63374.67,0
2026-06-05 01:45:00,63440.0,63442.0,63306.0,63326.05,104.6557,-0.001796185372004988,-0.00129242366893767,0.0015309569984079952,0.9471998038207692,63329.6,1
2026-06-05 01:50:00,63326.04,63346.0,63244.0,63338.23,41.72745,0.0001923379083330623,0.00047877106055627117,0.0015051684003924988,-0.6012883196997392,63226.52,0
2026-06-05 01:55:00,63338.23,63446.0,63284.0,63374.67,127.62225,0.0005753239394279408,-0.001029791929382129,0.0015112434837834387,2.0584723006078733,63180.0,0
2026-06-05 02:00:00,63374.67,63436.0,63240.0,63329.6,55.06729,-0.0007111674112070254,5.605907837291646e-05,0.0014622621912267534,-0.5685134057736797,63019.54,0
2026-06-05 02:05:00,63329.6,63337.61,63193.33,63226.52,45.89634,-0.0016276748945200925,-0.0017637057429613634,0.001471634058021469,-0.16654079036756664,62920.0,0
2026-06-05 02:10:00,63226.53,63276.0,63180.0,63180.0,43.89591,-0.0007357672065455567,-0.003071731971148739,0.0009470756367768663,-0.043585828412461725,62705.48,0
2026-06-05 02:15:00,63180.0,63270.0,63003.0,63019.54,170.29529,-0.0025397277619499947,-0.004895972815239569,0.001148877962252232,2.879525222281529,62822.75,0
2026-06-05 02:20:00,63019.53,63059.65,62766.53,62920.0,247.02335,-0.001579510101152759,-0.0048479656954074635,0.0010650536311021534,0.4505589085875481,62899.23,0
2026-06-05 02:25:00,62920.0,62924.0,62700.0,62705.48,106.22031,-0.003409408773045075,-0.007510604621715711,0.0010514182788898749,-0.5699989090100187,62742.01,1
2026-06-05 02:30:00,62705.49,62856.86,62620.0,62822.75,101.7796,0.0018701714746460762,-0.003122682266484378,0.0018183599739321384,-0.04180659988659419,62743.44,0
2026-06-05 02:35:00,62822.74,62954.0,62808.0,62899.23,66.05537,0.0012173933805827986,-0.00033010171646530306,0.002079588961449146,-0.35099597561790385,62636.85,0
2026-06-05 02:40:00,62899.23,62942.0,62588.77,62742.01,110.98414,-0.0024995536511337457,0.000582564713642153,0.002180264075227205,0.6801683193962884,62617.72,0
2026-06-05 02:45:00,62742.0,62861.95,62692.01,62743.44,76.37948,2.2791746710160155e-05,-0.0012624407559362893,0.002104858494429682,-0.3117982443257208,62594.0,0
2026-06-05 02:50:00,62743.45,62806.88,62623.38,62636.85,82.85249,-0.001698823016398232,-0.004171434213105729,0.002115031884831675,0.08474802394569858,62400.24,0
2026-06-05 02:55:00,62636.84,62714.0,62600.0,62617.72,61.25175,-0.0003054112714798718,-0.0019809693696456465,0.00166634588907682,-0.26071322660308704,62379.62,0
2026-06-05 03:00:00,62617.72,62656.79,62472.16,62594.0,245.45434,-0.00037880651036159563,-0.002381762938085674,0.0013146797081308303,3.0073033015383235,62780.0,1
2026-06-05 03:05:00,62593.99,62593.99,62366.37,62400.24,227.80659,-0.00309550436144046,-0.003777488810500551,0.001296563674823948,-0.07189830092228156,62659.81,1
